7	Right to Restrict the Processing 
7	According to article 18 of the General Data Protection Regulation ( GDPR ) you are entitled to demand of us to limit the processing of your personal data , provided certain pre-conditions are met . 
7	Right to limit data collection in accordance with Art 
7	Right to restriction : Your have the right to prevent a company from processing certain types of personal data . 
7	Users have the right , under certain circumstances , to restrict the processing of their Data . 
7	Request restriction of processing your personal data : This enables you to ask us to suspend the processing of your personal data in the following scenarios : ( a ) if you want us to establish the datas accuracy ; or ( b ) you have objected to our use of your data but we need to verify whether we have overriding legitimate grounds to use it 
7	18.3 Right to limitation of processing : Under the conditions of Article 18 of the GDPR , you may also request that the processing of personal data concerning you be restricted 
7	After the restriction , your data may only be processed with your consent or for the purpose of asserting , exercising or defending rights , or for the protection of the rights of another natural or legal person , or on grounds of an important public interest of the Union or a Member State 
7	We will inform you before the restriction is lifted . 
7	d ) right to deletion or restriction of your personal data , as permitted by law ; 
7	You have the right to request that we restrict the processing of your personal information . 
7	If you choose to limit the ways we can use your personal information , some or all of the Services may not be available to you . 
7	You have the right to restrict our processing your personal information where one of the following applies : 
7	Subject to the following conditions , you may , pursuant to Art 
7	18 , request that the processing of personal data concerning you be restricted 
7	You can assert your right to limit the processing of your personal data when : 
7	you have the right to ask the restriction of the processing or deletion of your personal data 
7	Each data subject shall have the right granted by the European legislator to obtain from the controller restriction of processing where one of the following applies 
7	You can control and limit our use of your advertising ID in your device settings . 
7	Right to restrict processing of your personal information in accordance with Art 
7	you can contact us if you want to restrict processing ) 
7	You can also ask for deletion of your data and request to limit the processing of your data or object to it . 
7	You can ask us to restrict , 
7	Right to estriction of processing We are in some circumstances required to restrict our use of Your personal data on Your request . 
7	Right of restriction of processing of the personal data : In certain circumstances , such as if you contest the accuracy of your personal data or have objected to our legitimate purpose for processing your personal data , you may request that we restrict the processing of your personal data 
7	Under certain circumstances , you have the right to demand that the processing of your personal data should be restricted . 
7	You can also exercise your right to restrict our processing of your personal information ( as described below ) whilst we consider your request 
7	You have a right to require us to stop processing the personal information we hold about you other than for storage purposes in certain circumstances 
7	You may adjust your browser or operating system settings to limit certain tracking through cookies or other identifiers or to decline cookies 
7	Right to restriction of processing : The right to request that your personal information is only used for restricted purposes 
7	Opt Out ( Right to Restrict Processing ) 
7	You have the right to opt out of certain uses and disclosures of your Personal Information . 
7	ask us to restrict processing of your personal information or request portability of your personal information 
7	restrict the processing of personal data concerning the User ; 
7	The right to restriction 
7	You have the right to obtain restriction of processing in certain circumstances , see Article 18 of the GDPR . 
7	You have the right to restrict the processing of your data where the accuracy of your personal data is contested , where the processing is unlawful , and where Overmobile no longer needs the personal data for the purposes for which Overmobile has processed it . 
7	requests to limit the processing of your data ; 
7	Right to rectification ( right to the rectification of inaccurate personal data concerning You ) in accordance with Section 10 Privacy Policy ; 
7	Therefore , we provide examples of ways we make available for you to choose to restrict the collection , use , disclosure or processing of your personal data and control your privacy settings , such as controlling the settings under the User Experience Improvement Program , Location Access functions , and your Mi Account . 
7	You can ask us to restrict ( i.e 
7	keep but not use ) your personal data , but only where : 
7	You have the right to obtain from the controller restriction of processing one of the following appliers : 
7	( Ii ) acquisition processing restrictions or opposition to the processing of your personal information ; 
7	to request a restriction on its processing 
7	You have a right to ask us to stop using or limit our use of your personal data in certain circumstancesfor example , if we have no lawful basis to keep using your data , or if you think your personal data is inaccurate 
7	Discord offers you the ability to restrict the processing of your data for specific uses , which you can find in the  Settings ? page of the services 
7	Under certain circumstances , you may have the right to limit the ways in which we use your personal information . 
7	and restrict how we use or share your data . 
7	request that the processing of your personal data be restricted 
7	In some cases , you may have the right to request a restriction of the processing of your personal data , such as when you are disputing the accuracy of your data held by us . 
7	You have the right to obtain from us a restriction of processing of your Data in the following cases : 
7	or restrict 
7	? Restrict the way that we process and disclose certain of your information ; 
7	You have the right to ask us not to use your personal information for marketing purposes . 
7	You have the right to obtain restriction of processing if you contest the accuracy of the personal data for a period of time that enables us to review the accuracy . 
7	or restrict the processing of your personal identifiable information . 
7	Right to restrict the use of your personal information . 
7	prevent the processing of your information for direct-marketing purposes ( including any direct marketing processing based on profiling ) 
7	You have the right to obtain restriction of processing in certain circumstances , in accordance with Article 18 of the GDPR 
7	If you have the right to restriction , we will only process your Personal Data with your consent or for the establishment , exercise or defense of a legal claim or to protect a person or important grounds of public interest . 
7	Restriction of Processing : You can ask us to restrict further processing of your Personal Data . 
7	To limit the use and disclosure of your personal information , please submit a written request to -Email- . 
7	( 5 ) Right to restriction of processing ( right to obtain from Nekki Limited as the controller restriction of processing on the legal grounds provided in Art.18 GDPR ( for example , when the accuracy of the personal data is contested by You or We no longer needs the personal data for the purposes of the processing ) ) ; 
7	you can also request limitations to the processing of your personal information , 
7	The right to ask us , in some situations , to restrict processing of your personal information or request portability of your personal information . 
7	In order to restrict processing of your personal data , please , send us a message describing your request and stating the basis of restriction through our help service within the Game . 
7	Right to restrict processing : in limited circumstances , you have the right to request that processing is stopped but the data retained . 
7	We give you control through your settings to limit the data we collect from you and how we use it , and to control things like account security , marketing preferences , apps that can access your account , and address book contacts you  ve uploaded to Twitter 
7	You can control whether your Periscope account is discoverable by email through your Periscope settings . 
7	We share the content of your Direct Messages with the people you  ve sent them to ; we do not use them to serve you ads 
7	? Right to restrict the processing activities 
7	You may have the right to restrict our processing activities . 
7	If you choose to restrict our processing activities as it relates to providing the Services , you might not be able to use them . 
7	You may be able to limit the amount of information collected from your device ( e.g. , computer , phone , or tablet ) with us by adjusting your device or browser settings 
7	Right to restriction 
7	use of the Products may be subject to restrictions . 
7	the right to request restrictions to said data processing or to object the processing ; 
7	You have the right to require us to restrict our processing of your Personal Information if you contest the accuracy of your Personal Information , if the processing is unlawful but you do still not want us to erase your Personal Information , if your Personal Information is no longer needed to fulfil the purpose it was collected for or you have informed us that you do not consider us to have a legitimate interest for certain processing 
7	# Restriction Of Processing 
7	To request us to restrict the processing of the personal data we hold about you . 
7	To request to limit the use and disclosure of your personal information , please submit a written request to -Email- . 
7	or a right to restrict the processing by the data controller 
7	If the data processing was restricted on the basis of the conditions stipulated above , you will be notified by the data controller prior to lifting the restriction . 
7	5 ) Right to restrict processing 
7	You have the right to request that we restrict our processing of your personal data in certain circumstances , for example if you dispute the accuracy of the personal data that we hold about you or you object to our processing of your personal data for our legitimate interests . 
7	You have the right to obtain restriction of processing in certain circumstances 
7	You have the right to have the processing of your personal data restricted in accordance with Article 18 GDPR . 
7	You may also be able to limit our sharing of some of this Personal Data through your mobile device settings , or by submitting your details here . 
7	You may ask us to restrict processingof your personal information 
7	The right to restriction You have the right to obtain restriction of processing in certain circumstances , see Article 18 of the GDPR 
7	When we rely on consent to process your personal information , you always have the right to withdraw this consent ; the processing is necessary for the performance of a contract to which you are a party ( including the terms & conditions of the relevant product/service ) ; the processing is necessary in order to take steps at your request prior to entering into a contract ; the processing is necessary for compliance with a legal obligation placed on ITV ( for example our obligation to ensure that the data we hold is accurate ) ; the processing is necessary for the purposes of the legitimate interests pursued by ITV or by a third party 
7	the right to object to your personal information being used for direct marketing 
7	If you object to such processing , we ask you to state the grounds of your objection in order for us to examine the processing of your personal data and to balance our legitimate interest in processing and your objection to this processing ; The right to object to processing your personal data for direct marketing purposes ; andThe right to lodge complaints before the competent data protection regulator.Before we can respond to a request to exercise one or more of the rights listed above , you may be required to verify your identity or your account details.Please send an e-mail to us if you would like to exercise any of your rights -Email- .7 
7	Right to restrict processing You have the right to request the restriction of your Personal Information where you have a particular reason for wanting the restriction 
7	How can I stop the App processing my data ? If you do not wish for the Freeview mobile app to process this data , you may switch this off 
7	Controlling your personal information You may choose to restrict the collection or use of your personal information in the following ways : whenever you are asked to fill in a form on the website , look for the box that you can click to indicate that you do not want the information to be used by anybody for direct marketing purposes if you have previously agreed to us using your personal information for direct marketing purposes , you may change your mind at any time by writing to or emailing us We will not sell , distribute or lease your personal information to third parties unless we have your permission or are required by law to do so 
